Consumer_ID,Consumer_Name,Consumer_Type,Tariff,Area,District,Meter_Type,Connection_Date,Sanctioned_Load_KW,Phase_Type,Status
CON00001,Consumer_1,Residential,Tariff IA,Peelamedu,Coimbatore,Smart Meter,2024-01-01,40.28,Single Phase,Active
CON00002,Consumer_2,Agricultural,Tariff IV,Anna Nagar,Madurai,Smart Meter,2024-01-01,13.72,Single Phase,Active
CON00003,Consumer_3,Commercial,Tariff V,Peelamedu,Chennai,Digital Meter,2024-01-01,14.04,Three Phase,Active
CON00004,Consumer_4,Residential,Tariff IA,Velachery,Chennai,Smart Meter,2024-01-01,44.02,Three Phase,Active
CON00005,Consumer_5,Residential,Tariff IA,Velachery,Coimbatore,Smart Meter,2024-01-01,30.52,Three Phase,Active
CON00006,Consumer_6,Residential,Tariff IA,Adyar,Coimbatore,Digital Meter,2024-01-01,25.49,Three Phase,Active
CON00007,Consumer_7,Residential,Tariff IA,KK Nagar,Madurai,Smart Meter,2024-01-01,10.98,Three Phase,Active
CON00008,Consumer_8,Industrial,Tariff III,Peelamedu,Coimbatore,Smart Meter,2024-01-01,12.06,Single Phase,Active
CON00009,Consumer_9,Commercial,Tariff V,Adyar,Madurai,Analog Meter,2024-01-01,1.62,Three Phase,Active
CON00010,Consumer_10,Commercial,Tariff V,KK Nagar,Chennai,Digital Meter,2024-01-01,6.39,Three Phase,Active
CON00011,Consumer_11,Residential,Tariff IA,Peelamedu,Chennai,Analog Meter,2024-01-01,33.85,Single Phase,Active
CON00012,Consumer_12,Agricultural,Tariff IV,Anna Nagar,Madurai,Analog Meter,2024-01-01,53.62,Single Phase,Active
CON00013,Consumer_13,Commercial,Tariff V,Peelamedu,Coimbatore,Analog Meter,2024-01-01,17.94,Single Phase,Active
CON00014,Consumer_14,Residential,Tariff IA,Velachery,Madurai,Smart Meter,2024-01-01,20.34,Single Phase,Active
CON00015,Consumer_15,Residential,Tariff IA,Velachery,Coimbatore,Smart Meter,2024-01-01,7.82,Single Phase,Active
CON00016,Consumer_16,Residential,Tariff IA,Anna Nagar,Chennai,Analog Meter,2024-01-01,23.93,Single Phase,Active
CON00017,Consumer_17,Residential,Tariff IA,Adyar,Coimbatore,Analog Meter,2024-01-01,3.2,Single Phase,Active
CON00018,Consumer_18,Residential,Tariff IA,KK Nagar,Madurai,Analog Meter,2024-01-01,55.14,Single Phase,Active
CON00019,Consumer_19,Residential,Tariff IA,Peelamedu,Madurai,Smart Meter,2024-01-01,40.71,Single Phase,Active
CON00020,Consumer_20,Residential,Tariff IA,Velachery,Chennai,Analog Meter,2024-01-01,59.45,Three Phase,Active
CON00021,Consumer_21,Commercial,Tariff V,Adyar,Coimbatore,Analog Meter,2024-01-01,53.09,Single Phase,Active
CON00022,Consumer_22,Residential,Tariff IA,Anna Nagar,Coimbatore,Digital Meter,2024-01-01,28.91,Three Phase,Active
