Reading_ID,Consumer_ID,Reading_Date,Units_Consumed,Voltage,Current,Power_Factor,Meter_Status
RD0000001,CON00001,2025-01-01,142,229.7,0.68,0.96,Normal
RD0000002,CON00001,2025-02-01,138,225.7,0.69,0.91,Normal
RD0000003,CON00001,2025-03-04,157,216.2,0.75,0.96,Normal
RD0000004,CON00001,2025-04-04,169,233.0,0.88,0.88,Normal
RD0000005,CON00001,2025-05-05,128,240.2,0.6,0.98,Normal
RD0000006,CON00001,2025-06-05,52,224.0,0.33,0.72,Tampered
RD0000007,CON00001,2025-07-06,49,224.7,0.29,0.77,Tampered
RD0000008,CON00001,2025-08-06,44,231.9,0.3,0.68,Tampered
RD0000009,CON00001,2025-09-06,37,235.8,0.26,0.66,Tampered
RD0000010,CON00001,2025-10-07,45,231.0,0.3,0.69,Tampered
RD0000011,CON00001,2025-11-07,45,237.8,0.27,0.77,Tampered
RD0000012,CON00001,2025-12-08,55,242.9,0.35,0.72,Tampered
RD0000013,CON00002,2025-01-01,74,221.2,0.37,0.91,Normal
RD0000014,CON00002,2025-02-01,49,230.1,0.24,0.92,Normal
RD0000015,CON00002,2025-03-04,41,220.1,0.22,0.86,Normal
RD0000016,CON00002,2025-04-04,49,242.7,0.23,0.96,Normal
RD0000017,CON00002,2025-05-05,41,219.7,0.2,0.94,Normal
RD0000018,CON00002,2025-06-05,52,236.6,0.26,0.91,Normal
RD0000019,CON00002,2025-07-06,48,233.8,0.25,0.88,Normal
RD0000020,CON00002,2025-08-06,52,230.0,0.26,0.91,Normal
RD0000021,CON00002,2025-09-06,38,217.9,0.18,0.97,Normal
RD0000022,CON00002,2025-10-07,46,222.3,0.22,0.94,Normal
RD0000023,CON00002,2025-11-07,66,236.2,0.34,0.89,Normal
RD0000024,CON00002,2025-12-08,49,238.1,0.25,0.9,Normal
RD0000025,CON00003,2025-01-01,713,232.1,3.66,0.89,Normal
RD0000026,CON00003,2025-02-01,760,213.6,3.94,0.88,Normal
RD0000027,CON00003,2025-03-04,725,221.7,3.6,0.92,Normal
RD0000028,CON00003,2025-04-04,668,223.8,3.51,0.87,Normal
RD0000029,CON00003,2025-05-05,815,233.2,4.33,0.86,Normal
RD0000030,CON00003,2025-06-05,665,234.3,3.45,0.88,Normal
RD0000031,CON00003,2025-07-06,845,223.0,4.02,0.96,Normal
RD0000032,CON00003,2025-08-06,595,242.3,2.95,0.92,Normal
RD0000033,CON00003,2025-09-06,539,231.0,2.56,0.96,Normal
RD0000034,CON00003,2025-10-07,452,240.1,2.4,0.86,Normal
RD0000035,CON00003,2025-11-07,540,232.2,2.65,0.93,Normal
RD0000036,CON00003,2025-12-08,628,242.5,3.3,0.87,Normal
RD0000037,CON00004,2025-01-01,114,226.9,0.54,0.96,Normal
RD0000038,CON00004,2025-02-01,141,225.5,0.75,0.86,Normal
RD0000039,CON00004,2025-03-04,157,225.8,0.83,0.86,Normal
RD0000040,CON00004,2025-04-04,168,227.5,0.82,0.93,Normal
RD0000041,CON00004,2025-05-05,155,228.3,0.83,0.85,Normal
RD0000042,CON00004,2025-06-05,104,241.3,0.48,0.98,Normal
RD0000043,CON00004,2025-07-06,129,230.7,0.66,0.89,Normal
RD0000044,CON00004,2025-08-06,190,220.2,0.89,0.98,Normal
RD0000045,CON00004,2025-09-06,202,235.4,1.06,0.87,Normal
RD0000046,CON00004,2025-10-07,83,223.2,0.4,0.94,Normal
RD0000047,CON00004,2025-11-07,187,246.3,0.98,0.87,Normal
RD0000048,CON00004,2025-12-08,158,231.6,0.81,0.89,Normal
RD0000049,CON00005,2025-01-01,131,228.4,0.64,0.94,Normal
RD0000050,CON00005,2025-02-01,156,225.4,0.78,0.91,Normal
RD0000051,CON00005,2025-03-04,100,227.7,0.49,0.94,Normal
RD0000052,CON00005,2025-04-04,173,225.9,0.89,0.89,Normal
RD0000053,CON00005,2025-05-05,175,216.6,0.86,0.93,Normal
RD0000054,CON00005,2025-06-05,143,224.6,0.69,0.94,Normal
RD0000055,CON00005,2025-07-06,137,232.2,0.73,0.86,Normal
RD0000056,CON00005,2025-08-06,154,207.4,0.76,0.93,Normal
RD0000057,CON00005,2025-09-06,125,234.2,0.59,0.96,Normal
RD0000058,CON00005,2025-10-07,109,233.2,0.58,0.86,Normal
RD0000059,CON00005,2025-11-07,126,231.8,0.59,0.97,Normal
RD0000060,CON00005,2025-12-08,168,230.5,0.88,0.87,Normal
RD0000061,CON00006,2025-01-01,152,226.0,0.81,0.86,Normal
RD0000062,CON00006,2025-02-01,137,223.7,0.65,0.96,Normal
RD0000063,CON00006,2025-03-04,171,219.8,0.88,0.89,Normal
RD0000064,CON00006,2025-04-04,148,216.5,0.69,0.98,Normal
RD0000065,CON00006,2025-05-05,123,218.9,0.62,0.91,Normal
