Bill_ID,Consumer_ID,Billing_Month,Units,Amount,Due_Date,Payment_Status,Arrear_Amount
BL0000001,CON00001,January 2025,142,639.0,2025-01-21,Paid,0.0
BL0000002,CON00001,February 2025,138,621.0,2025-02-21,Paid,0.0
BL0000003,CON00001,March 2025,157,706.5,2025-03-24,Paid,0.0
BL0000004,CON00001,April 2025,169,760.5,2025-04-24,Paid,0.0
BL0000005,CON00001,May 2025,128,576.0,2025-05-25,Paid,0.0
BL0000006,CON00001,June 2025,52,234.0,2025-06-25,Paid,0.0
BL0000007,CON00001,July 2025,49,220.5,2025-07-26,Paid,0.0
BL0000008,CON00001,August 2025,44,198.0,2025-08-26,Paid,0.0
BL0000009,CON00001,September 2025,37,166.5,2025-09-26,Paid,0.0
BL0000010,CON00001,October 2025,45,202.5,2025-10-27,Unpaid,202.5
BL0000011,CON00001,November 2025,45,202.5,2025-11-27,Paid,0.0
BL0000012,CON00001,December 2025,55,247.5,2025-12-28,Paid,0.0
BL0000013,CON00002,January 2025,74,37.0,2025-01-21,Paid,0.0
BL0000014,CON00002,February 2025,49,24.5,2025-02-21,Paid,0.0
BL0000015,CON00002,March 2025,41,20.5,2025-03-24,Paid,0.0
BL0000016,CON00002,April 2025,49,24.5,2025-04-24,Paid,0.0
BL0000017,CON00002,May 2025,41,20.5,2025-05-25,Paid,0.0
BL0000018,CON00002,June 2025,52,26.0,2025-06-25,Paid,0.0
BL0000019,CON00002,July 2025,48,24.0,2025-07-26,Paid,0.0
BL0000020,CON00002,August 2025,52,26.0,2025-08-26,Paid,0.0
BL0000021,CON00002,September 2025,38,19.0,2025-09-26,Paid,0.0
BL0000022,CON00002,October 2025,46,23.0,2025-10-27,Paid,0.0
BL0000023,CON00002,November 2025,66,33.0,2025-11-27,Paid,0.0
BL0000024,CON00002,December 2025,49,24.5,2025-12-28,Paid,0.0
BL0000025,CON00003,January 2025,713,5347.5,2025-01-21,Paid,0.0
BL0000026,CON00003,February 2025,760,5700.0,2025-02-21,Paid,0.0
BL0000027,CON00003,March 2025,725,5437.5,2025-03-24,Paid,0.0
BL0000028,CON00003,April 2025,668,5010.0,2025-04-24,Paid,0.0
BL0000029,CON00003,May 2025,815,6112.5,2025-05-25,Paid,0.0
BL0000030,CON00003,June 2025,665,4987.5,2025-06-25,Paid,0.0
BL0000031,CON00003,July 2025,845,6337.5,2025-07-26,Paid,0.0
BL0000032,CON00003,August 2025,595,4462.5,2025-08-26,Paid,0.0
BL0000033,CON00003,September 2025,539,4042.5,2025-09-26,Paid,0.0
BL0000034,CON00003,October 2025,452,3390.0,2025-10-27,Paid,0.0
BL0000035,CON00003,November 2025,540,4050.0,2025-11-27,Paid,0.0
BL0000036,CON00003,December 2025,628,4710.0,2025-12-28,Paid,0.0
BL0000037,CON00004,January 2025,114,513.0,2025-01-21,Paid,0.0
BL0000038,CON00004,February 2025,141,634.5,2025-02-21,Paid,0.0
BL0000039,CON00004,March 2025,157,706.5,2025-03-24,Paid,0.0
BL0000040,CON00004,April 2025,168,756.0,2025-04-24,Paid,0.0
BL0000041,CON00004,May 2025,155,697.5,2025-05-25,Paid,0.0
BL0000042,CON00004,June 2025,104,468.0,2025-06-25,Paid,0.0
BL0000043,CON00004,July 2025,129,580.5,2025-07-26,Unpaid,580.5
BL0000044,CON00004,August 2025,190,855.0,2025-08-26,Paid,0.0
BL0000045,CON00004,September 2025,202,909.0,2025-09-26,Paid,0.0
BL0000046,CON00004,October 2025,83,373.5,2025-10-27,Paid,0.0
BL0000047,CON00004,November 2025,187,841.5,2025-11-27,Paid,0.0
BL0000048,CON00004,December 2025,158,711.0,2025-12-28,Paid,0.0
BL0000049,CON00005,January 2025,131,589.5,2025-01-21,Paid,0.0
BL0000050,CON00005,February 2025,156,702.0,2025-02-21,Paid,0.0
BL0000051,CON00005,March 2025,100,450.0,2025-03-24,Paid,0.0
BL0000052,CON00005,April 2025,173,778.5,2025-04-24,Paid,0.0
BL0000053,CON00005,May 2025,175,787.5,2025-05-25,Paid,0.0
BL0000054,CON00005,June 2025,143,643.5,2025-06-25,Paid,0.0
BL0000055,CON00005,July 2025,137,616.5,2025-07-26,Paid,0.0
BL0000056,CON00005,August 2025,154,693.0,2025-08-26,Paid,0.0
BL0000057,CON00005,September 2025,125,562.5,2025-09-26,Paid,0.0
BL0000058,CON00005,October 2025,109,490.5,2025-10-27,Paid,0.0
BL0000059,CON00005,November 2025,126,567.0,2025-11-27,Unpaid,567.0
BL0000060,CON00005,December 2025,168,756.0,2025-12-28,Paid,0.0
BL0000061,CON00006,January 2025,152,684.0,2025-01-21,Unpaid,684.0
BL0000062,CON00006,February 2025,137,616.5,2025-02-21,Paid,0.0
BL0000063,CON00006,March 2025,171,769.5,2025-03-24,Paid,0.0
BL0000064,CON00006,April 2025,148,666.0,2025-04-24,Paid,0.0
BL0000065,CON00006,May 2025,123,553.5,2025-05-25,Unpaid,553.5
BL0000066,CON00006,June 2025,136,612.0,2025-06-25,Unpaid,612.0
BL0000067,CON00006,July 2025,136,612.0,2025-07-26,Paid,0.0
BL0000068,CON00006,August 2025,199,895.5,2025-08-26,Paid,0.0
BL0000069,CON00006,September 2025,178,801.0,2025-09-26,Paid,0.0
BL0000070,CON00006,October 2025,107,481.5,2025-10-27,Paid,0.0
BL0000071,CON00006,November 2025,158,711.0,2025-11-27,Paid,0.0
BL0000072,CON00006,December 2025,109,490.5,2025-12-28,Paid,0.0
BL0000073,CON00007,January 2025,104,468.0,2025-01-21,Paid,0.0
BL0000074,CON00007,February 2025,149,670.5,2025-02-21,Paid,0.0
BL0000075,CON00007,March 2025,172,774.0,2025-03-24,Paid,0.0
BL0000076,CON00007,April 2025,118,531.0,2025-04-24,Paid,0.0
BL0000077,CON00007,May 2025,130,585.0,2025-05-25,Paid,0.0
BL0000078,CON00007,June 2025,142,639.0,2025-06-25,Paid,0.0
BL0000079,CON00007,July 2025,196,882.0,2025-07-26,Paid,0.0
BL0000080,CON00007,August 2025,172,774.0,2025-08-26,Paid,0.0
BL0000081,CON00007,September 2025,151,679.5,2025-09-26,Paid,0.0
BL0000082,CON00007,October 2025,82,369.0,2025-10-27,Paid,0.0
BL0000083,CON00007,November 2025,131,589.5,2025-11-27,Paid,0.0
BL0000084,CON00007,December 2025,115,517.5,2025-12-28,Paid,0.0
BL0000085,CON00008,January 2025,3169,30105.5,2025-01-21,Unpaid,30105.5
BL0000086,CON00008,February 2025,2684,25498.0,2025-02-21,Unpaid,25498.0
BL0000087,CON00008,March 2025,4902,46569.0,2025-03-24,Paid,0.0
BL0000088,CON00008,April 2025,3098,29431.0,2025-04-24,Paid,0.0
BL0000089,CON00008,May 2025,5011,47604.5,2025-05-25,Paid,0.0
BL0000090,CON00008,June 2025,3470,32965.0,2025-06-25,Paid,0.0
BL0000091,CON00008,July 2025,4951,47034.5,2025-07-26,Paid,0.0
BL0000092,CON00008,August 2025,4874,46303.0,2025-08-26,Paid,0.0
BL0000093,CON00008,September 2025,4381,41619.5,2025-09-26,Unpaid,41619.5
BL0000094,CON00008,October 2025,3469,32955.5,2025-10-27,Paid,0.0
