Load_ID,Transformer_ID,Date_Time,Load_KW,Voltage,Temperature,Utilization_Percentage
LD000001,TX0078,2026-04-01 12:00:00,260.79,400.4,77.1,75.75
LD000002,TX0029,2026-04-01 12:00:00,107.09,422.5,62.0,75.23
LD000003,TX0069,2026-04-01 12:00:00,343.86,426.4,50.3,75.09
LD000004,TX0046,2026-04-01 12:00:00,256.57,419.0,49.1,69.42
LD000005,TX0001,2026-04-01 12:00:00,105.1,411.5,58.3,63.88
LD000006,TX0095,2026-04-01 12:00:00,57.92,413.3,74.4,49.69
LD000007,TX0006,2026-04-01 12:00:00,215.16,423.3,69.1,71.61
LD000008,TX0036,2026-04-01 12:00:00,141.75,415.5,79.9,41.75
LD000009,TX0064,2026-04-01 12:00:00,146.8,420.6,51.1,91.1
LD000010,TX0097,2026-04-01 12:00:00,67.75,428.5,64.2,91.7
LD000011,TX0091,2026-04-01 12:00:00,120.47,408.2,78.2,92.7
LD000012,TX0074,2026-04-01 12:00:00,388.26,404.7,74.0,43.62
LD000013,TX0027,2026-04-01 12:00:00,241.54,425.5,56.4,60.94
LD000014,TX0001,2026-04-01 12:00:00,232.65,420.9,55.9,78.79
LD000015,TX0029,2026-04-01 12:00:00,222.06,414.5,61.4,52.92
LD000016,TX0082,2026-04-01 12:00:00,316.8,417.1,45.7,84.54
LD000017,TX0078,2026-04-01 12:00:00,283.36,427.3,51.4,53.0
LD000018,TX0089,2026-04-01 12:00:00,109.01,428.7,59.6,42.08
LD000019,TX0070,2026-04-01 12:00:00,220.46,400.3,74.1,57.48
LD000020,TX0032,2026-04-01 12:00:00,295.21,421.7,70.3,62.45
LD000021,TX0002,2026-04-01 12:00:00,202.27,429.2,84.7,53.9
LD000022,TX0024,2026-04-01 12:00:00,235.13,405.6,58.7,69.25
LD000023,TX0095,2026-04-01 12:00:00,69.24,405.4,79.2,65.75
LD000024,TX0100,2026-04-01 12:00:00,44.34,403.8,58.8,94.88
LD000025,TX0016,2026-04-01 12:00:00,316.78,412.7,55.1,89.93
LD000026,TX0081,2026-04-01 12:00:00,319.02,423.4,64.8,88.18
LD000027,TX0052,2026-04-01 12:00:00,223.13,416.2,64.4,44.48
LD000028,TX0026,2026-04-01 12:00:00,333.5,411.6,57.5,57.38
LD000029,TX0001,2026-04-01 12:00:00,321.45,417.2,80.6,63.03
LD000030,TX0024,2026-04-01 12:00:00,168.79,410.5,82.1,78.13
LD000031,TX0028,2026-04-01 12:00:00,216.66,415.2,66.4,92.51
LD000032,TX0033,2026-04-01 12:00:00,210.76,414.1,71.1,88.34
LD000033,TX0042,2026-04-01 12:00:00,47.04,427.5,72.3,63.96
LD000034,TX0050,2026-04-01 12:00:00,40.08,416.0,56.8,40.54
LD000035,TX0011,2026-04-01 12:00:00,341.82,419.8,72.0,78.29
LD000036,TX0062,2026-04-01 12:00:00,392.01,408.9,61.1,82.79
LD000037,TX0100,2026-04-01 12:00:00,312.21,410.9,61.8,89.6
LD000038,TX0079,2026-04-01 12:00:00,65.76,429.3,80.1,43.51
LD000039,TX0047,2026-04-01 12:00:00,259.13,418.3,67.3,82.97
LD000040,TX0006,2026-04-01 12:00:00,265.34,409.0,82.4,55.2
LD000041,TX0010,2026-04-01 12:00:00,136.86,402.1,74.2,89.43
LD000042,TX0074,2026-04-01 12:00:00,215.45,418.2,67.1,70.03
LD000043,TX0049,2026-04-01 12:00:00,44.6,402.5,73.2,53.18
LD000044,TX0008,2026-04-01 12:00:00,208.54,404.9,58.3,92.85
LD000045,TX0029,2026-04-01 12:00:00,137.05,406.5,63.5,93.76
LD000046,TX0045,2026-04-01 12:00:00,118.08,419.2,62.9,90.87
LD000047,TX0012,2026-04-01 12:00:00,390.78,412.1,78.1,67.48
LD000048,TX0038,2026-04-01 12:00:00,282.28,421.9,57.8,44.41
LD000049,TX0055,2026-04-01 12:00:00,361.3,406.6,67.1,77.88
LD000050,TX0077,2026-04-01 12:00:00,92.39,426.5,62.1,88.68
LD000051,TX0077,2026-04-01 12:00:00,122.6,406.4,82.7,82.03
