Outage_ID,Feeder_ID,Start_Time,End_Time,Duration_Minutes,Cause,Area
OUT00001,FDR004,2026-03-15 10:00:00,2026-03-15 11:15:00,46,Equipment Failure,Anna Nagar
OUT00002,FDR050,2026-03-15 10:00:00,2026-03-15 11:15:00,113,Line Fault,Adyar
OUT00003,FDR012,2026-03-15 10:00:00,2026-03-15 11:15:00,48,Line Fault,Velachery
OUT00004,FDR032,2026-03-15 10:00:00,2026-03-15 11:15:00,26,Equipment Failure,Adyar
OUT00005,FDR003,2026-03-15 10:00:00,2026-03-15 11:15:00,140,Weather,Anna Nagar
OUT00006,FDR019,2026-03-15 10:00:00,2026-03-15 11:15:00,134,Line Fault,Anna Nagar
OUT00007,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,94,Line Fault,Velachery
OUT00008,FDR012,2026-03-15 10:00:00,2026-03-15 11:15:00,58,Equipment Failure,Adyar
OUT00009,FDR031,2026-03-15 10:00:00,2026-03-15 11:15:00,170,Line Fault,Adyar
OUT00010,FDR017,2026-03-15 10:00:00,2026-03-15 11:15:00,91,Weather,Anna Nagar
OUT00011,FDR004,2026-03-15 10:00:00,2026-03-15 11:15:00,42,Line Fault,Velachery
OUT00012,FDR002,2026-03-15 10:00:00,2026-03-15 11:15:00,148,Equipment Failure,Adyar
OUT00013,FDR039,2026-03-15 10:00:00,2026-03-15 11:15:00,97,Weather,Velachery
OUT00014,FDR012,2026-03-15 10:00:00,2026-03-15 11:15:00,61,Line Fault,Anna Nagar
OUT00015,FDR018,2026-03-15 10:00:00,2026-03-15 11:15:00,121,Equipment Failure,Anna Nagar
OUT00016,FDR047,2026-03-15 10:00:00,2026-03-15 11:15:00,114,Equipment Failure,Velachery
OUT00017,FDR040,2026-03-15 10:00:00,2026-03-15 11:15:00,143,Line Fault,Anna Nagar
OUT00018,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,110,Weather,Anna Nagar
OUT00019,FDR020,2026-03-15 10:00:00,2026-03-15 11:15:00,100,Weather,Anna Nagar
OUT00020,FDR045,2026-03-15 10:00:00,2026-03-15 11:15:00,170,Line Fault,Adyar
OUT00021,FDR002,2026-03-15 10:00:00,2026-03-15 11:15:00,105,Line Fault,Velachery
OUT00022,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,150,Equipment Failure,Anna Nagar
OUT00023,FDR005,2026-03-15 10:00:00,2026-03-15 11:15:00,168,Weather,Adyar
OUT00024,FDR028,2026-03-15 10:00:00,2026-03-15 11:15:00,34,Weather,Anna Nagar
OUT00025,FDR037,2026-03-15 10:00:00,2026-03-15 11:15:00,105,Weather,Velachery
OUT00026,FDR049,2026-03-15 10:00:00,2026-03-15 11:15:00,53,Weather,Adyar
OUT00027,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,126,Line Fault,Adyar
OUT00028,FDR033,2026-03-15 10:00:00,2026-03-15 11:15:00,22,Weather,Anna Nagar
OUT00029,FDR036,2026-03-15 10:00:00,2026-03-15 11:15:00,67,Weather,Anna Nagar
OUT00030,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,48,Equipment Failure,Adyar
OUT00031,FDR033,2026-03-15 10:00:00,2026-03-15 11:15:00,17,Equipment Failure,Velachery
OUT00032,FDR027,2026-03-15 10:00:00,2026-03-15 11:15:00,67,Weather,Anna Nagar
OUT00033,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,163,Line Fault,Velachery
OUT00034,FDR001,2026-03-15 10:00:00,2026-03-15 11:15:00,128,Weather,Velachery
OUT00035,FDR043,2026-03-15 10:00:00,2026-03-15 11:15:00,41,Weather,Adyar
OUT00036,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,118,Weather,Anna Nagar
OUT00037,FDR030,2026-03-15 10:00:00,2026-03-15 11:15:00,23,Weather,Anna Nagar
OUT00038,FDR031,2026-03-15 10:00:00,2026-03-15 11:15:00,119,Equipment Failure,Adyar
OUT00039,FDR006,2026-03-15 10:00:00,2026-03-15 11:15:00,87,Equipment Failure,Velachery
OUT00040,FDR047,2026-03-15 10:00:00,2026-03-15 11:15:00,53,Equipment Failure,Adyar
OUT00041,FDR021,2026-03-15 10:00:00,2026-03-15 11:15:00,150,Line Fault,Anna Nagar
OUT00042,FDR021,2026-03-15 10:00:00,2026-03-15 11:15:00,168,Equipment Failure,Anna Nagar
OUT00043,FDR016,2026-03-15 10:00:00,2026-03-15 11:15:00,175,Line Fault,Adyar
OUT00044,FDR004,2026-03-15 10:00:00,2026-03-15 11:15:00,59,Line Fault,Adyar
OUT00045,FDR031,2026-03-15 10:00:00,2026-03-15 11:15:00,66,Weather,Velachery
OUT00046,FDR035,2026-03-15 10:00:00,2026-03-15 11:15:00,95,Equipment Failure,Adyar
OUT00047,FDR023,2026-03-15 10:00:00,2026-03-15 11:15:00,118,Line Fault,Anna Nagar
OUT00048,FDR044,2026-03-15 10:00:00,2026-03-15 11:15:00,28,Weather,Adyar
OUT00049,FDR022,2026-03-15 10:00:00,2026-03-15 11:15:00,23,Weather,Anna Nagar
OUT00050,FDR041,2026-03-15 10:00:00,2026-03-15 11:15:00,82,Equipment Failure,Anna Nagar
OUT00051,FDR047,2026-03-15 10:00:00,2026-03-15 11:15:00,32,Weather,Adyar
OUT00052,FDR029,2026-03-15 10:00:00,2026-03-15 11:15:00,111,Equipment Failure,Adyar
OUT00053,FDR038,2026-03-15 10:00:00,2026-03-15 11:15:00,19,Weather,Adyar
OUT00054,FDR036,2026-03-15 10:00:00,2026-03-15 11:15:00,153,Weather,Adyar
OUT00055,FDR034,2026-03-15 10:00:00,2026-03-15 11:15:00,141,Line Fault,Adyar
OUT00056,FDR013,2026-03-15 10:00:00,2026-03-15 11:15:00,49,Weather,Adyar
OUT00057,FDR012,2026-03-15 10:00:00,2026-03-15 11:15:00,25,Weather,Velachery
OUT00058,FDR012,2026-03-15 10:00:00,2026-03-15 11:15:00,43,Equipment Failure,Velachery
