Inspection_ID,Consumer_ID,Avg_Last6Months,Current_Month_Units,Consumption_Drop_Percentage,Voltage_Anomaly,Current_Anomaly,Meter_Tamper_Flag,Night_Usage_Ratio,Transformer_Loss_Percentage,Theft_Flag
INSP000001,CON01133,455.20949409378454,135.02,70.34,1,1,0,0.39,9.13,1
INSP000002,CON00319,109.49371152747497,110.7,-1.1,0,0,0,0.32,24.01,0
INSP000003,CON00831,161.17959496916467,143.79,10.79,0,0,0,0.56,23.43,0
INSP000004,CON01890,1117.6916530609317,1058.12,5.33,0,0,0,0.26,10.68,1
INSP000005,CON00042,1186.5168727185326,1001.54,15.59,0,0,1,0.66,23.06,0
INSP000006,CON01902,352.34876005165364,308.52,12.44,0,0,0,0.31,14.52,0
INSP000007,CON00847,228.5676988310558,250.08,-9.41,0,0,1,0.46,16.2,1
INSP000008,CON00948,407.6404150662837,329.41,19.19,0,0,0,0.33,20.62,0
INSP000009,CON00618,508.40069670714905,499.45,1.76,0,0,0,0.73,10.87,1
INSP000010,CON01943,722.9093999999684,757.18,-4.74,0,0,0,0.72,14.79,0
INSP000011,CON01932,1158.0970494560354,963.07,16.84,0,0,0,0.6,23.12,0
INSP000012,CON00203,125.46824649669948,113.96,9.17,0,0,0,0.34,20.2,0
INSP000013,CON00694,655.7905152098485,180.01,72.55,1,1,0,0.59,10.84,1
INSP000014,CON01376,864.6354401457605,912.97,-5.59,0,0,0,0.5,6.47,0
INSP000015,CON00052,419.0526496252939,363.61,13.23,0,0,0,0.79,10.19,0
INSP000016,CON00064,531.0850431312887,463.64,12.7,0,0,0,0.27,10.13,0
INSP000017,CON01107,517.8986409870257,417.48,19.39,0,0,0,0.57,19.92,0
INSP000018,CON00197,675.5117508979524,606.07,10.28,0,0,0,0.54,14.98,0
INSP000019,CON00604,638.3863469648622,683.78,-7.11,0,0,0,0.69,6.31,0
INSP000020,CON01312,171.21251308974175,168.85,1.38,0,0,0,0.59,23.81,0
INSP000021,CON01640,438.57406153043416,470.11,-7.19,0,0,0,0.78,20.2,0
INSP000022,CON00225,541.4537994288276,508.32,6.12,0,0,0,0.74,15.54,1
INSP000023,CON01052,330.5538144023263,340.83,-3.11,0,0,0,0.78,9.97,0
INSP000024,CON00601,778.0937441257655,842.44,-8.27,0,0,0,0.42,12.97,0
